City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
Ahipara,-35.1667,173.1667,64.9,scattered clouds,57,42,8.99,NZ
Nyzhni Sirohozy,46.8484,34.3804,57.27,overcast clouds,74,100,10.09,UA
Atuona,-9.8,-139.0333,77.32,clear sky,68,3,16.51,PF
Neiafu,-18.65,-173.9833,77.68,broken clouds,65,75,8.05,TO
Visnes,59.3556,5.2242,53.22,overcast clouds,87,100,9.22,NO
Cape Town,-33.9258,18.4232,63.12,scattered clouds,77,47,13.0,ZA
Marquette,46.5333,-87.6335,46.81,overcast clouds,90,97,4.38,US
Hurricane,37.1753,-113.2899,68.34,scattered clouds,23,35,4.07,US
Jamestown,42.097,-79.2353,69.44,clear sky,47,0,5.75,US
Ribeira Grande,38.5167,-28.7,61.77,overcast clouds,74,85,3.0,PT
Eureka,40.8021,-124.1637,63.75,scattered clouds,85,48,5.01,US
Dahanu,19.9667,72.7333,74.28,clear sky,61,0,3.47,IN
Port Alfred,-33.5906,26.891,61.18,overcast clouds,87,99,5.01,ZA
Lipin Bor,60.2622,37.9763,35.46,overcast clouds,72,98,7.54,RU
Sibu,2.3,111.8167,72.99,overcast clouds,99,100,2.19,MY
Sobolevo,54.4299,31.8996,44.76,overcast clouds,90,100,8.48,RU
Fuerte Olimpo,-21.0415,-57.8738,86.85,clear sky,33,0,4.47,PY
Nguruka,-5.1092,31.0419,77.83,overcast clouds,39,100,4.03,TZ
Ambon,-3.6954,128.1814,77.14,few clouds,94,20,8.05,ID
Hosangadi,13.7,74.95,69.84,clear sky,81,1,4.65,IN
Isiro,2.7739,27.616,66.31,overcast clouds,99,96,1.95,CD
Wairoa,-39.0333,177.3667,64.54,scattered clouds,62,44,5.01,NZ
Hay River,60.8156,-115.7999,31.19,light snow,94,100,11.88,CA
Huarmey,-10.0681,-78.1522,65.59,broken clouds,74,53,10.51,PE
Qaqortoq,60.7167,-46.0333,28.33,clear sky,71,0,5.84,GL
Oussouye,12.485,-16.5469,81.19,scattered clouds,73,40,2.51,SN
Oranjemund,-28.55,16.4333,57.38,overcast clouds,89,99,9.78,NA
Parana,-31.732,-60.5238,83.55,light rain,48,87,16.62,AR
Colorines,19.2,-100.1667,69.01,overcast clouds,85,95,4.09,MX
Kieta,-6.2167,155.6333,83.28,overcast clouds,74,86,1.12,PG
Arrifes,37.7667,-25.7,62.85,broken clouds,68,75,10.36,PT
Lebu,-37.6167,-73.65,56.17,broken clouds,87,83,11.97,CL
San Luis,-33.295,-66.3356,87.06,scattered clouds,26,29,17.36,AR
Safford,32.834,-109.7076,68.11,clear sky,15,0,3.44,US
Nazilli,37.9163,28.3223,62.8,clear sky,33,0,2.44,TR
Kapit,2.0167,112.9333,72.79,overcast clouds,100,100,2.01,MY
Puerto Ayora,-0.7393,-90.3518,75.16,broken clouds,88,81,5.99,EC
Lompoc,34.6391,-120.4579,79.02,clear sky,64,0,11.5,US
Port Elizabeth,-33.918,25.5701,65.1,light rain,83,97,10.54,ZA
Port Macquarie,-31.4333,152.9167,74.89,clear sky,62,8,5.53,AU
Talnakh,69.4865,88.3972,7.66,overcast clouds,97,96,2.44,RU
Okhotsk,59.3833,143.3,22.42,few clouds,65,16,10.42,RU
San Patricio,28.017,-97.5169,78.75,clear sky,20,0,8.97,US
Portland,45.5234,-122.6762,56.62,light rain,82,100,10.0,US
Ayan,56.45,138.1667,34.47,overcast clouds,57,100,7.56,RU
Castlebar,53.85,-9.3,56.32,light rain,96,100,16.78,IE
Noumea,-22.2763,166.4572,82.38,overcast clouds,80,97,9.37,NC
Kavieng,-2.5744,150.7967,83.77,overcast clouds,74,100,6.08,PG
Ngunguru,-35.6167,174.5,60.67,scattered clouds,68,31,10.31,NZ
Kapuskasing,49.4169,-82.4331,57.42,overcast clouds,79,100,6.71,CA
Tasiilaq,65.6145,-37.6368,32.16,snow,96,100,4.18,GL
Maralal,1.0968,36.698,63.39,broken clouds,64,77,12.12,KE
Tura,25.5198,90.2201,64.67,broken clouds,96,51,2.57,IN
New Norfolk,-42.7826,147.0587,55.9,overcast clouds,84,100,3.0,AU
Leh,34.1667,77.5833,29.44,clear sky,49,0,0.65,IN
Dera Bugti,29.0307,69.151,75.6,clear sky,17,0,3.44,PK
Buenos Aires,-34.6132,-58.3772,75.09,clear sky,71,0,20.71,AR
Bathsheba,13.2167,-59.5167,81.21,scattered clouds,83,40,18.41,BB
Paamiut,61.994,-49.6678,30.6,few clouds,60,24,5.37,GL
Vila Franca Do Campo,37.7167,-25.4333,64.81,overcast clouds,69,100,10.42,PT
Togur,58.3631,82.8265,31.26,overcast clouds,70,100,12.44,RU
Xuddur,4.1213,43.8894,72.72,light rain,84,81,10.63,SO
Caravelas,-17.7125,-39.2481,71.87,scattered clouds,92,29,5.3,BR
Kahului,20.8947,-156.47,89.62,few clouds,63,20,24.16,US
San Quintin,30.4833,-115.95,71.08,clear sky,27,0,11.1,MX
Beyneu,45.3167,55.2,51.24,overcast clouds,75,99,16.35,KZ
Guapi,2.5708,-77.8854,77.27,light rain,89,97,6.98,CO
Mananjary,-21.2167,48.3333,73.81,broken clouds,79,81,13.85,MG
Tessalit,20.1986,1.0114,79.29,overcast clouds,18,86,11.34,ML
Trowbridge,51.3189,-2.2086,62.33,overcast clouds,89,100,1.01,GB
Khatanga,71.9667,102.5,3.42,overcast clouds,98,88,6.31,RU
Isangel,-19.55,169.2667,76.53,overcast clouds,77,100,14.07,VU
Sabha,27.0377,14.4283,70.07,clear sky,33,0,10.4,LY
Milledgeville,33.0801,-83.2321,76.48,clear sky,55,0,0.0,US
Maputo,-25.9653,32.5892,75.67,scattered clouds,87,49,2.19,MZ
Dinguiraye,11.3,-10.7167,73.47,few clouds,71,15,3.4,GN
Winnemucca,40.973,-117.7357,53.65,clear sky,32,0,5.75,US
Zlobin,45.2924,14.6541,53.58,few clouds,94,20,3.44,HR
Sonoita,31.85,-112.8333,75.88,clear sky,9,0,3.31,MX
Chimbote,-9.0853,-78.5783,64.81,scattered clouds,75,47,9.86,PE
Avera,33.194,-82.5271,74.71,overcast clouds,45,98,6.29,US
Kodiak,57.79,-152.4072,44.11,broken clouds,81,75,3.44,US
Buala,-8.145,159.5921,84.02,broken clouds,71,57,3.76,SB
Baloda Bazar,21.6667,82.1667,64.47,clear sky,68,0,1.3,IN
Coahuayana,18.7333,-103.6833,83.52,broken clouds,76,81,5.35,MX
Yulara,-25.2406,130.9889,69.3,clear sky,37,0,10.02,AU
Matagami,49.7502,-77.6328,61.72,broken clouds,72,83,11.43,CA
Port Hedland,-20.3167,118.5667,64.45,clear sky,72,0,6.91,AU
Bambous Virieux,-20.3428,57.7575,72.21,light rain,78,10,12.91,MU
Hoquiam,46.9809,-123.8893,51.93,moderate rain,92,100,18.41,US
Saint George,37.1041,-113.5841,67.42,clear sky,23,0,3.0,US
Poum,-20.2333,164.0167,77.0,few clouds,77,11,9.26,NC
Bredasdorp,-34.5322,20.0403,60.78,overcast clouds,74,100,7.63,ZA
Medea,36.2642,2.7539,63.3,few clouds,31,14,7.23,DZ
Nara,34.6851,135.8049,49.96,clear sky,66,0,1.83,JP
Souillac,-20.5167,57.5167,70.99,clear sky,82,4,10.38,MU
Micheweni,-4.9667,39.8333,75.92,few clouds,84,14,7.47,TZ
Zeya,53.75,127.2667,25.88,scattered clouds,68,34,6.13,RU
Rocha,-34.4833,-54.3333,60.13,clear sky,81,8,10.98,UY
Maniitsoq,65.4167,-52.9,28.17,broken clouds,77,78,6.15,GL
Yanam,16.7333,82.2167,71.46,clear sky,88,0,2.26,IN
Contamana,-7.3333,-75.0167,89.67,overcast clouds,48,100,3.51,PE
Olafsvik,64.8945,-23.7142,41.74,overcast clouds,81,100,19.77,IS
Chuy,-33.6971,-53.4616,60.48,few clouds,80,12,11.9,UY
Tam Ky,15.5667,108.4833,76.66,overcast clouds,94,100,10.58,VN
Dwarka,22.2394,68.9678,79.45,clear sky,62,0,9.73,IN
Yongzhou,26.4559,111.5988,63.84,scattered clouds,47,28,1.83,CN
Port Lincoln,-34.7333,135.8667,58.23,overcast clouds,82,87,11.03,AU
Char Bhadrasan,23.3167,90.2167,69.94,clear sky,93,0,2.62,BD
Manicore,-5.8092,-61.3003,72.37,overcast clouds,97,100,4.34,BR
Tlaltenango,19.1667,-98.3333,77.5,scattered clouds,47,40,12.66,MX
Esperance,-33.8667,121.9,56.98,few clouds,76,22,8.39,AU
Mecca,21.4267,39.8261,80.44,broken clouds,63,62,4.68,SA
Hasaki,35.7333,140.8333,53.22,overcast clouds,63,100,29.91,JP
Hami,42.8,93.45,49.32,overcast clouds,41,100,1.7,CN
Yongan,39.6957,113.6871,51.4,overcast clouds,57,100,1.83,CN
Opuwo,-18.0607,13.84,71.6,few clouds,40,13,3.87,NA
Pangnirtung,66.1451,-65.7125,24.8,light snow,68,100,11.5,CA
Riberalta,-10.9833,-66.1,89.8,broken clouds,62,75,6.91,BO
Santa Helena De Goias,-17.8136,-50.5969,86.86,few clouds,32,12,3.78,BR
Chernyshevskiy,63.0128,112.4714,25.39,overcast clouds,87,100,9.75,RU
Itamaraca,-7.7478,-34.8256,80.65,broken clouds,78,84,10.33,BR
Fenoarivo,-18.933,47.4354,64.47,broken clouds,94,75,6.91,MG
Dingle,10.9995,122.6711,75.97,overcast clouds,93,100,5.75,PH
Phalaborwa,-23.943,31.1411,82.22,scattered clouds,39,37,1.61,ZA
Bundi,25.4417,75.6417,70.52,clear sky,37,0,2.21,IN
Yuanping,38.7153,112.7575,50.7,overcast clouds,51,100,0.4,CN
Fortuna,40.5982,-124.1573,60.93,clear sky,80,0,12.66,US
Los Llanos De Aridane,28.6585,-17.9182,65.95,few clouds,73,20,6.91,ES
Ust-Tsilma,65.441,52.1498,28.08,broken clouds,97,74,6.35,RU
Touros,-5.1989,-35.4608,78.15,broken clouds,76,55,14.83,BR
Mormugao,15.4,73.8,72.66,mist,88,2,6.91,IN
Klichka,50.4457,117.996,22.86,scattered clouds,45,34,5.12,RU
Lipari,38.4674,14.954,71.74,broken clouds,64,82,5.21,IT
Manzhouli,49.6,117.4333,26.58,scattered clouds,52,37,12.35,CN
Arraial Do Cabo,-22.9661,-42.0278,71.44,clear sky,82,8,9.91,BR
Omboue,-1.5746,9.2618,77.05,light rain,88,97,2.51,GA
Beidao,34.5686,105.8933,52.21,overcast clouds,91,95,0.6,CN
Kashi,39.4547,75.9797,50.67,overcast clouds,32,100,2.1,CN
Marienburg,54.0359,19.0266,52.88,overcast clouds,91,90,7.63,PL
Albesti,47.7,27.0667,54.05,broken clouds,92,56,5.35,RO
Lalawigan,11.5892,125.4697,78.28,overcast clouds,92,100,8.63,PH
Prince Rupert,54.3161,-130.3201,46.49,overcast clouds,93,100,6.91,CA
Bandarbeyla,9.4942,50.8122,77.29,few clouds,77,19,0.56,SO
Achit,56.7985,57.8994,27.03,scattered clouds,95,37,4.12,RU
Umea,63.8284,20.2597,39.13,light intensity drizzle,100,100,0.0,SE
Provideniya,64.3833,-173.3,28.51,overcast clouds,64,100,15.99,RU
Cabo San Lucas,22.8909,-109.9124,87.62,few clouds,54,20,11.5,MX
Aasiaat,68.7098,-52.8699,28.22,overcast clouds,79,99,14.58,GL
Esso,55.9333,158.7,17.06,overcast clouds,92,97,4.88,RU
Ylojarvi,61.5563,23.5961,40.91,light intensity shower rain,96,100,8.05,FI
Saint-Joseph,-21.3667,55.6167,68.38,few clouds,76,20,10.11,RE
Erenhot,43.6475,111.9767,32.9,clear sky,66,8,11.14,CN
Maturin,9.75,-63.1767,80.65,broken clouds,77,71,7.27,VE
Urusha,54.05,122.9,18.86,clear sky,79,3,3.04,RU
Saint-Pierre,-21.3393,55.4781,71.91,clear sky,78,0,4.61,RE
Praia Da Vitoria,38.7333,-27.0667,59.76,scattered clouds,83,40,12.5,PT
Inongo,-1.95,18.2667,71.06,scattered clouds,96,41,1.66,CD
Shimoda,34.6667,138.95,52.11,overcast clouds,68,95,18.81,JP
Le Port,-20.9373,55.2919,72.25,few clouds,70,19,10.13,RE
Rio Grande,-32.035,-52.0986,66.31,clear sky,82,0,16.71,BR
Namatanai,-3.6667,152.4333,83.93,overcast clouds,69,94,5.48,PG
College,64.8569,-147.8028,24.75,few clouds,78,20,12.66,US
Ust-Kuyga,70.0167,135.6,10.27,overcast clouds,99,100,5.39,RU
Sitka,57.0531,-135.33,46.29,few clouds,61,20,0.0,US
Geraldton,-28.7667,114.6,48.61,clear sky,87,0,6.91,AU
Vejprty,50.4923,13.0321,48.72,scattered clouds,93,41,3.2,CZ
Saint-Georges,12.0564,-61.7485,82.08,light intensity shower rain,83,75,25.32,GD
Forestville,38.8451,-76.875,64.22,mist,92,100,5.75,US
Mashivka,49.4431,34.8669,54.03,moderate rain,90,100,10.98,UA
Shenjiamen,29.9576,122.298,65.28,overcast clouds,73,100,7.31,CN
Mangrol,21.1167,70.1167,77.32,clear sky,67,3,7.2,IN
Sao Joao Da Barra,-21.6403,-41.0511,71.69,scattered clouds,87,32,11.01,BR
Mount Gambier,-37.8333,140.7667,58.91,mist,94,100,8.05,AU
Henties Bay,-22.116,14.2845,57.9,broken clouds,95,84,4.38,NA
Nuuk,64.1835,-51.7216,32.61,broken clouds,93,75,4.61,GL
Xining,36.6167,101.7667,44.22,overcast clouds,90,100,0.43,CN
Jatiroto,-7.8833,111.1167,72.77,overcast clouds,91,99,4.23,ID
Almora,29.6167,79.6667,48.43,clear sky,69,0,1.61,IN
Binahaan,13.9906,121.7581,76.89,overcast clouds,93,100,14.36,PH
Maarianhamina,60.0973,19.9348,51.66,overcast clouds,93,100,6.91,AX
Elat,29.5581,34.9482,80.44,clear sky,39,0,3.44,IL
Dhidhdhoo,6.8833,73.1,80.24,broken clouds,78,61,4.09,MV
Bumbuna,9.05,-11.7333,75.13,few clouds,83,19,3.96,SL
Ondjiva,-17.0667,15.7333,73.85,broken clouds,55,78,7.52,AO
Visby,57.6409,18.296,53.82,overcast clouds,87,100,16.11,SE
Westport,41.1415,-73.3579,70.93,scattered clouds,89,45,3.0,US
Phultala,22.7,89.5167,69.75,clear sky,94,0,1.39,BD
Benicarlo,40.4165,0.4271,69.57,overcast clouds,72,100,1.97,ES
Mitsamiouli,-11.3847,43.2844,75.52,clear sky,79,3,13.04,KM
Valparaiso,-33.0393,-71.6273,60.48,broken clouds,92,75,9.22,CL
Seymchan,62.8833,152.4333,-1.16,clear sky,88,7,2.77,RU
Syracuse,37.0881,15.2792,58.37,broken clouds,50,65,6.71,IT
Sand,50.0,10.6,51.85,broken clouds,94,79,3.69,DE
Tocopilla,-22.092,-70.1979,64.94,few clouds,65,20,10.94,CL
Ponta Do Sol,32.6667,-17.1,73.0,light rain,88,44,6.02,PT
Sorong,-0.8833,131.25,79.43,overcast clouds,87,93,7.74,ID
Peleduy,59.6289,112.7406,29.52,light snow,94,100,9.89,RU
Tougan,13.0667,-3.0667,84.87,broken clouds,23,69,6.08,BF
Sao Felix Do Xingu,-6.6447,-51.995,73.69,overcast clouds,97,100,3.11,BR
Sorland,67.667,12.6934,44.46,overcast clouds,64,100,0.2,NO
Manokwari,-0.8667,134.0833,79.68,overcast clouds,81,100,3.62,ID
Koumra,8.9126,17.5539,74.53,broken clouds,50,84,2.46,TD
Shubarkuduk,49.1447,56.4872,40.32,overcast clouds,79,100,18.03,KZ
Sungairaya,0.7,108.9,76.1,moderate rain,92,100,4.45,ID
Constitucion,-35.3333,-72.4167,56.86,broken clouds,88,78,6.02,CL
Goure,13.9835,10.2704,79.54,few clouds,23,11,7.16,NE
Vila Velha,-20.3297,-40.2925,71.94,overcast clouds,96,100,3.44,BR
Lorengau,-2.0226,147.2712,84.07,overcast clouds,67,100,4.61,PG
Faya,18.3851,42.4509,59.52,few clouds,72,22,3.98,SA
Nanortalik,60.1432,-45.2371,33.67,clear sky,76,1,4.79,GL
Juegang,32.3174,121.1855,59.99,overcast clouds,70,100,8.99,CN
Fethiye,36.6217,29.1164,57.07,clear sky,50,0,4.18,TR
Loreto,22.2667,-101.9667,77.63,clear sky,27,7,7.65,MX
Aketi,2.7388,23.7833,70.56,light rain,100,100,0.89,CD
Ixtapa,20.7,-105.2,84.22,scattered clouds,74,40,9.22,MX
Norman Wells,65.282,-126.8329,18.41,overcast clouds,79,85,0.78,CA
Broome,42.2506,-75.833,67.06,clear sky,81,0,4.61,US
Xichang,27.8964,102.2634,61.14,broken clouds,97,82,2.53,CN
Placerville,38.7296,-120.7986,69.76,clear sky,30,0,8.05,US
Lavrentiya,65.5833,-171.0,26.64,overcast clouds,77,95,13.98,RU
Tooele,40.5308,-112.2983,51.3,broken clouds,50,75,6.91,US
Cockburn Town,21.4612,-71.1419,80.19,light rain,71,100,3.13,TC
Abu Samrah,35.3029,37.1841,71.06,overcast clouds,36,97,8.21,SY
Aitape,-3.1374,142.3475,79.88,overcast clouds,85,99,3.4,PG
Khudumelapye,-23.8833,24.75,81.95,overcast clouds,26,97,5.03,BW
Severnyy,50.677,36.5532,48.24,heavy intensity rain,93,100,8.95,RU
Pevek,69.7008,170.3133,-0.27,clear sky,93,10,5.41,RU
Batticaloa,7.7102,81.6924,78.03,broken clouds,82,69,1.05,LK
Abeche,13.8292,20.8324,79.36,clear sky,16,0,13.49,TD
Whitianga,-36.8333,175.7,59.88,overcast clouds,66,96,6.24,NZ
Laguna,38.421,-121.4238,77.09,clear sky,35,0,5.75,US
Navalcarnero,40.2891,-4.012,66.45,overcast clouds,73,95,7.16,ES
Lagoa,39.05,-27.9833,63.05,light rain,67,19,23.38,PT
Stephenville Crossing,48.5,-58.4318,54.21,clear sky,91,7,1.21,CA
Strezhevoy,60.7333,77.5889,32.95,overcast clouds,75,100,14.34,RU
Palmer,42.1584,-72.3287,68.56,scattered clouds,81,40,5.75,US
Ushibuka,32.1906,130.0228,59.72,clear sky,70,0,8.61,JP
Krasnoselkup,65.7,82.4667,31.98,light snow,98,100,14.63,RU
Aksu,41.1231,80.2644,48.52,scattered clouds,34,49,2.66,CN
Guerrero Negro,27.9769,-114.0611,76.87,clear sky,32,0,11.61,MX
Monmouth,40.3001,-74.1663,71.2,overcast clouds,89,92,6.71,US
Lixourion,38.2019,20.4314,68.61,clear sky,62,1,4.92,GR
Te Anau,-45.4167,167.7167,51.3,light rain,90,100,4.41,NZ
Samarai,-10.6167,150.6667,81.95,few clouds,68,18,7.54,PG
Santiago Del Estero,-27.7951,-64.2615,99.36,clear sky,20,8,19.62,AR
Nelson Bay,-32.7167,152.15,75.09,broken clouds,70,61,8.01,AU
Katsuura,35.1333,140.3,56.1,overcast clouds,74,88,25.95,JP
Tonantins,-2.8731,-67.8022,78.31,light rain,89,100,1.48,BR
Cuamba,-14.8031,36.5372,79.02,overcast clouds,34,94,2.64,MZ
Bambui,-20.0064,-45.9769,81.16,broken clouds,35,79,0.92,BR
Dedza,-14.3779,34.3332,67.37,scattered clouds,46,47,1.74,MW
Belaya Gora,68.5333,146.4167,11.84,overcast clouds,96,100,5.48,RU
Panguna,-6.3164,155.4848,78.04,overcast clouds,73,96,0.87,PG
Kedrovyy,56.1667,91.8167,19.81,clear sky,63,9,3.91,RU
Jerecuaro,20.15,-100.5167,80.55,overcast clouds,32,90,6.51,MX
Kisangani,0.5167,25.2,70.41,light rain,99,95,0.36,CD
Jega,12.2175,4.3792,82.9,scattered clouds,29,44,9.24,NG
Ilebo,-4.3167,20.5833,70.86,few clouds,94,24,1.45,CD
Zhuhai,22.2769,113.5678,73.11,few clouds,78,20,17.27,CN
Bengkulu,-3.8004,102.2655,73.99,moderate rain,93,100,5.21,ID
Mapiripan,2.8892,-72.1256,82.0,scattered clouds,74,41,3.18,CO
Emerald,-23.5333,148.1667,72.34,few clouds,52,21,5.86,AU
Ambanja,-13.6833,48.45,74.16,broken clouds,86,72,1.48,MG
